STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	BRCA1	BRCA2	TP53	AURKA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A06U-01	NA	NA	NA	NA	-0.249201526	-1.38185155	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A06T-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A06R-01	NA	NA	NA	NA	-0.553068608	-1.953830324	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A06Q-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A06P-01	NA	NA	NA	NA	-0.78938733	-1.88881282	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A06O-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A06N-01	NA	NA	NA	NA	-0.133985611	-1.14635121	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A6VY-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A6VX-01	NA	NA	NA	NA	-0.63295599	-1.944211495	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A6VW-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A6VV-01	NA	NA	NA	NA	-0.846958677	-2.519162617	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A5ZX-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A5ZW-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A5ZV-01	NA	NA	NA	NA	-0.092390739	-0.893657526	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A56D-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A4SF-01	NA	NA	NA	NA	-0.392453019	-1.320935385	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A4SE-01	NA	NA	NA	NA	0.313411914	-0.669779353	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A4SD-01	NA	NA	NA	NA	-0.105324419	-0.968768374	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A4SC-01	NA	NA	NA	NA	-0.371732753	-2.339547727	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A4SB-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A4SA-01	NA	NA	NA	NA	-0.342111772	-1.938708296	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A426-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A425-01	NA	NA	NA	NA	-0.34739678	-2.148691065	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A3RF-01	NA	NA	NA	NA	-0.320598786	-1.052850188	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A3J1-01	NA	NA	NA	NA	-0.206345069	-2.267809198	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A3J0-01	NA	NA	NA	NA	-0.216785566	-1.541280335	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A3IZ-01	NA	NA	NA	NA	0.057065808	-1.503382315	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A3IY-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A2KD-01	NA	NA	NA	NA	-0.151316346	-1.660434323	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A26J-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A26I-01	NA	NA	NA	NA	-0.245165519	-1.431262283	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A26H-01	NA	NA	NA	NA	-0.710769531	-1.711072781	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A26G-01	NA	NA	NA	NA	-0.504895516	-1.71744796	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A26F-01	NA	NA	NA	NA	-0.478514607	-1.314174736	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A26E-01	NA	NA	NA	NA	-0.524311271	-1.478085558	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A13H-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A13G-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A13F-01	NA	NA	NA	NA	-0.297200014	-1.748007866	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A13E-01	NA	NA	NA	NA	-0.330814946	-1.336124953	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A13D-01	NA	NA	NA	NA	-0.354684875	-1.585467704	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A0DC-01	NA	NA	NA	NA	0.100359767	-1.650563633	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A0DB-01	NA	NA	NA	NA	-0.266812371	-1.690533975	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A0DA-01	NA	NA	NA	NA	-0.30312596	-1.194128701	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A0D9-01	NA	NA	NA	NA	-0.283781825	-1.998963791	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A0CJ-01	NA	NA	NA	NA	-0.442743607	-1.533368243	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A0CH-01	NA	NA	NA	NA	-0.561097065	-1.558256589	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A0CG-01	NA	NA	NA	NA	-0.56139706	-2.191467861	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A0CE-01	NA	NA	NA	NA	-0.490120578	-1.25404997	NA
brca_tcga_pan_can_atlas_2018	TCGA-A7-A0CD-01	NA	NA	NA	NA	-0.649572687	-1.607824469	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A4S3-01	NA	NA	NA	NA	0.123711605	-1.326155853	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A4S2-01	NA	NA	NA	NA	-0.196737495	-1.315737776	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A4S1-01	NA	NA	NA	NA	-0.074265822	-1.386671838	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A4S0-01	NA	NA	NA	NA	-0.445596043	-2.268406682	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A4RY-01	NA	NA	NA	NA	0.362434967	-1.105713957	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A4RX-01	NA	NA	NA	NA	-0.137211259	-1.308923398	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A4RW-01	NA	NA	NA	NA	-0.256045412	-2.732783462	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A3Y0-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A3XZ-01	NA	NA	NA	NA	-0.34005335	-1.398391005	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A3XY-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A3XX-01	NA	NA	NA	NA	-0.342321367	-1.46457881	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A3XW-01	NA	NA	NA	NA	-0.245865361	-1.511497846	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A3XV-01	NA	NA	NA	NA	-0.285350273	-1.078461723	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A3XU-01	NA	NA	NA	NA	-0.198236627	-1.203419473	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A3XT-01	NA	NA	NA	NA	-0.107262591	-0.707434379	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A3XS-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A3KD-01	NA	NA	NA	NA	-0.421104626	-1.203229616	NA
