STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	AURKA	BRCA1	BRCA2	TP53
ov_tcga_pan_can_atlas_2018	TCGA-24-1544-01	-0.2096	-0.1621	-0.2045	NA	NA	NA	0.3109
ov_tcga_pan_can_atlas_2018	TCGA-24-1474-01	0.0815	0.1223	0.1755	NA	NA	NA	-0.548
ov_tcga_pan_can_atlas_2018	TCGA-24-1471-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1470-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1469-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1467-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1466-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1464-01	-0.1603	0.227	-0.0605	NA	NA	NA	1.089
ov_tcga_pan_can_atlas_2018	TCGA-24-1463-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1436-01	-0.0277	-0.0091	0.3353	NA	NA	-0.1456	-1.1434
ov_tcga_pan_can_atlas_2018	TCGA-24-1435-01	-0.0105	-0.1154	-0.0217	NA	NA	-0.1981	-0.2917
ov_tcga_pan_can_atlas_2018	TCGA-24-1434-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1431-01	0.0376	-0.1028	-0.2014	NA	NA	NA	-1.3114
ov_tcga_pan_can_atlas_2018	TCGA-24-1430-01	-0.0415	-0.0909	0.1906	NA	NA	0.5012	-0.3703
ov_tcga_pan_can_atlas_2018	TCGA-24-1428-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1427-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1426-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1425-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1424-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1423-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1422-01	-0.3162	0.2856	-0.3176	NA	NA	NA	0.8602
ov_tcga_pan_can_atlas_2018	TCGA-24-1419-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1418-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1417-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1416-01	-0.1689	0.2649	-0.3905	NA	NA	0.007	-0.0819
ov_tcga_pan_can_atlas_2018	TCGA-24-1413-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1105-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1104-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1103-01	-0.2532	0.068	-0.4874	NA	NA	NA	-0.7517
ov_tcga_pan_can_atlas_2018	TCGA-23-2649-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-2647-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-2645-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-2643-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-2641-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-2084-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-2081-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-2079-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-2078-01	NA	NA	NA	NA	NA	NA	NA
